iter	Logloss
0	0.6150763009
1	0.5420675719
2	0.4789143687
3	0.4290799967
4	0.3794633088
5	0.3383688991
6	0.2987380584
7	0.2648087597
8	0.2347748508
9	0.2093868542
10	0.1870780675
11	0.1671082709
12	0.1496720428
13	0.1344395581
14	0.1211430196
15	0.1095185236
16	0.09933795513
17	0.09101965424
18	0.08301694418
19	0.07561837097
20	0.06991018645
21	0.06439729561
22	0.05989889103
23	0.05551162935
24	0.05081641356
25	0.04787320364
26	0.04524184528
27	0.04243475199
28	0.03991948081
29	0.03798839234
30	0.03590534143
31	0.03430899585
32	0.03253270911
33	0.03093031026
34	0.02948225374
35	0.02821584609
36	0.02705708117
37	0.02600349248
38	0.0252015371
39	0.02427499738
40	0.02359360465
41	0.02273318204
42	0.02208554263
43	0.02143599404
44	0.02096821294
45	0.02052106379
46	0.01980866665
47	0.01934319577
48	0.01890797429
49	0.01851197948
50	0.01821281625
51	0.01793123668
52	0.01754293697
53	0.01703003407
54	0.01670349652
55	0.01648787592
56	0.01619965564
57	0.01595581156
58	0.01572942405
59	0.01534087015
60	0.01513707084
61	0.01494803378
62	0.01479939734
63	0.01462424326
64	0.01448157348
65	0.01428987411
66	0.01415239526
67	0.01403811371
68	0.01393030153
69	0.01380857718
70	0.01369161355
71	0.01360065073
72	0.01347151089
73	0.01336571144
74	0.01329200938
75	0.01317843388
76	0.01310505095
77	0.01303204082
78	0.01297267455
79	0.01289412046
80	0.01280280084
81	0.01274326417
82	0.01269493499
83	0.01264922764
84	0.01246231347
85	0.01242282978
86	0.01225266988
87	0.0119856238
88	0.01184252944
89	0.01164932758
90	0.01154661125
91	0.01137899599
92	0.01128713506
93	0.01122476286
94	0.01107431327
95	0.01101252004
96	0.01096049677
97	0.01091313913
98	0.01077268637
99	0.01067684045
100	0.0105409234
101	0.0104145146
102	0.01039283581
103	0.01035321467
104	0.01027276552
105	0.01024673082
106	0.0102292799
107	0.01017307583
108	0.01015476163
109	0.01013913328
110	0.01006279056
111	0.009991123819
112	0.009959363462
113	0.009927444948
114	0.009897268043
115	0.009804236941
116	0.009781456696
117	0.009695898509
118	0.009637701469
119	0.009623994536
120	0.009611715722
121	0.009586635612
122	0.00954126717
123	0.009522554758
124	0.009503255848
125	0.009472214729
126	0.009418268156
127	0.009403072853
128	0.009379584668
129	0.009343899571
130	0.009316537483
131	0.009294352209
132	0.009273570578
133	0.009257644741
134	0.009238557648
135	0.009230797603
136	0.0091619438
137	0.00911605005
138	0.009073057728
139	0.009055189761
140	0.009038101282
141	0.009023124387
142	0.008995509059
143	0.008988665006
144	0.008959600848
145	0.008937954061
146	0.00891880107
147	0.008890673614
148	0.008873982411
149	0.00885860824
150	0.008815657339
151	0.008775797088
152	0.00875771448
153	0.008751985058
154	0.008727036745
155	0.008712772497
156	0.008689163811
157	0.00865315581
158	0.008639856508
159	0.008633916209
160	0.008622302973
161	0.008574316468
162	0.008540921823
163	0.008505855233
164	0.008472428579
165	0.008464786211
166	0.008452985634
167	0.008442296862
168	0.008423827334
169	0.008408414566
170	0.008395089845
171	0.008390777245
172	0.008385618317
173	0.008367630791
174	0.008360429944
175	0.00834529395
176	0.008328132983
177	0.008323308256
178	0.008315682833
179	0.008310737605
180	0.008306031495
181	0.008295256113
182	0.008266080868
183	0.008255871274
184	0.008230112407
185	0.008202673123
186	0.008195273639
187	0.008181899023
188	0.008160480057
189	0.008151198694
190	0.00812754482
191	0.008109675912
192	0.008097208817
193	0.008092367144
194	0.008084364215
195	0.008077744218
196	0.008064057055
197	0.008049348461
198	0.008028020812
199	0.008021807505
200	0.008014438145
201	0.008004907308
202	0.007995539335
203	0.007992002456
204	0.0079759034
205	0.007963776153
206	0.007948735242
207	0.007944999726
208	0.007939893517
209	0.007928626719
210	0.007917835333
211	0.007909698725
212	0.007906854724
213	0.007900051152
214	0.007878372357
215	0.007871194575
216	0.00785290721
217	0.007847365128
218	0.007834324243
219	0.007831061786
220	0.007819989389
221	0.007801830998
222	0.007796930016
223	0.007779471092
224	0.00775748728
225	0.00774096506
226	0.007728912185
227	0.007720138712
228	0.007710395116
229	0.007695323609
230	0.007692713078
231	0.0076895104
232	0.00768485042
233	0.00766981751
234	0.007667362312
235	0.007653324003
236	0.007648401839
237	0.007644269048
238	0.007640087304
239	0.007627732707
240	0.007611307452
241	0.007593465374
242	0.007577811134
243	0.007573140798
244	0.007559562367
245	0.007554312122
246	0.007546201873
247	0.007536507701
248	0.007517691264
249	0.007502984082
250	0.007498692193
251	0.007487480938
252	0.007478623209
253	0.007466563744
254	0.007457562921
255	0.007452771613
256	0.00744140785
257	0.007431362532
258	0.007419729997
259	0.007411265777
260	0.00740732221
261	0.007402591153
262	0.007398035668
263	0.007394056327
264	0.007389157699
265	0.007385027732
266	0.007369144259
